Ratio_TA,Ratio_LP,Biomass_TA,Biomass_LP,Gardener
12,54,89,5.03,3
12,54,85,3.07,4
12,54,128,2.1,5
12,60,77,4.86,1
12,60,108,1.86,2
12,60,103,3.75,3
12,60,92,3.96,4
12,60,80,4.8,5
18,0,61,NA,1
18,0,79,NA,2
18,0,58,NA,3
18,0,88,NA,4
18,0,57,NA,5
18,1,87,2.96,1
18,1,54,4.02,2
18,1,78,0.7,3
18,1,44,3.76,4
18,1,99,2.85,5
18,6,94,4.02,1
18,6,60,1.32,2
18,6,96,2.17,3
18,6,72,3.42,4
18,6,95,2.85,5
18,12,91,3.76,1
18,12,43,3.66,2
18,12,56,5.55,3
18,12,95,2.95,4
18,12,84,3.16,5
18,18,51,3.06,1
18,18,46,4.12,2
18,18,41,2.07,3
18,18,78,2.56,4
18,18,81,3.07,5
18,24,93,3.02,1
18,24,144,4.4,2
18,24,70,3.51,3
18,24,103,4.39,4
18,24,96,3.18,5
18,30,52,5,1
18,30,120,4.17,2
18,30,93,2.47,3
18,30,82,3.02,4
18,30,77,3.65,5
18,36,81,4,1
18,36,110,2.65,2
18,36,69,2.77,3
18,36,79,2.42,4
18,36,76,5.22,5
18,42,100,3.06,1
18,42,83,4.93,2
18,42,86,3.31,3
18,42,80,3.11,4
18,42,94,5.72,5
18,48,82,3.91,1
18,48,99,3.1,2
18,48,69,5.09,3
18,48,49,2.74,4
18,48,71,5.16,5
18,54,77,4.15,1
18,54,131,3.86,2
18,54,94,4.85,3
18,54,68,1.47,4
18,54,89,3.27,5
18,60,62,1.19,1
18,60,100,5.06,2
18,60,86,2.06,3
18,60,87,2.94,4
18,60,64,5.04,5
24,0,79,NA,1
24,0,118,NA,2
24,0,90,NA,3
24,0,78,NA,4
24,0,65,NA,5
24,1,100,5.36,1
24,1,54,3.32,2
24,1,90,1.6,3
24,1,88,3.3,4
24,1,85,3.17,5
24,6,64,2.12,1
24,6,118,4.03,2
24,6,85,2.12,3
24,6,122,2.92,4
24,6,94,4.52,5
24,12,136,1.87,1
24,12,81,3.27,2
